SIC,SIC Industry,2002 NAICS,NAICS Industry,SIC to NAICS Employment Ratio
41-4440,Water transportation of freight,60-550000,Management of companies and enterprises,5
41-4480,Water transportation of passengers,43-483100,"Sea, coastal, and Great Lakes transportation",48.7
41-4480,Water transportation of passengers,43-487000,Scenic and sightseeing transportation,37.3
41-4480,Water transportation of passengers,43-483200,Inland water transportation,12.2
41-4480,Water transportation of passengers,60-550000,Management of companies and enterprises,1.2
41-4490,Water transportation services,43-488300,Support activities for water transportation,71.8
41-4490,Water transportation services,70-713900,Other amusement and recreation industries,19.4
41-4490,Water transportation services,55-532400,Machinery and equipment rental and leasing,5.2
41-4490,Water transportation services,60-541900,Other professional and technical services,1.3
41-4490,Water transportation services,43-483200,Inland water transportation,1.2
41-4490,Water transportation services,60-550000,Management of companies and enterprises,1
41-4510,"Air transportation, scheduled",43-481100,Scheduled air transportation,53.6
41-4510,"Air transportation, scheduled",43-492100,Couriers,42.5
41-4510,"Air transportation, scheduled",43-493000,Warehousing and storage,1.7
41-4510,"Air transportation, scheduled",60-550000,Management of companies and enterprises,1.3
41-4520,"Air transportation, nonscheduled",43-481200,Nonscheduled air transportation,84.5
41-4520,"Air transportation, nonscheduled",65-621900,Other ambulatory health care services,9.7
41-4520,"Air transportation, nonscheduled",43-487000,Scenic and sightseeing transportation,3.6
41-4520,"Air transportation, nonscheduled",60-550000,Management of companies and enterprises,1.8
41-4580,"Airports, flying fields, and services",43-488100,Support activities for air transportation,92.8
41-4580,"Airports, flying fields, and services",60-561700,Services to buildings and dwellings,5.8
41-4610,"Pipelines, except natural gas",43-486000,Pipeline transportation,95.6
41-4610,"Pipelines, except natural gas",60-550000,Management of companies and enterprises,3.9
41-4720,Passenger transportation arrangement,60-561500,Travel arrangement and reservation services,98.1
41-4720,Passenger transportation arrangement,60-550000,Management of companies and enterprises,1.4
41-4730,Freight transportation arrangement,43-488500,Freight transportation arrangement,91.5
41-4730,Freight transportation arrangement,60-541600,Management and technical consulting services,6
41-4730,Freight transportation arrangement,60-550000,Management of companies and enterprises,1.1
41-4780,Other transportation services,43-488900,"Support activities for other transport., including rail",82.7
41-4780,Other transportation services,43-488400,Support activities for road transportation,8
41-4780,Other transportation services,43-488300,Support activities for water transportation,3.2
41-4780,Other transportation services,55-532400,Machinery and equipment rental and leasing,2.7
41-4780,Other transportation services,43-487000,Scenic and sightseeing transportation,2.2
42-4810,Telephone communications,50-517100,Wired telecommunications carriers,60.9
42-4810,Telephone communications,50-517300,Telecommunications resellers,18.3
42-4810,Telephone communications,50-517200,Wireless telecommunications carriers,16.8
42-4810,Telephone communications,60-550000,Management of companies and enterprises,2.5
42-4830,Radio and television broadcasting,50-515100,Radio and television broadcasting,99.2
42-4840,Cable and other pay television services,50-517500,Cable and other program distribution,55.6
42-4840,Cable and other pay television services,50-515200,Cable and other subscription programming,41
42-4840,Cable and other pay television services,60-550000,Management of companies and enterprises,1.8
42-4840,Cable and other pay television services,60-561400,Business support services,1
42-4890,Other communications,50-517900,Satellite and other telecommunications,60
42-4890,Other communications,50-517100,Wired telecommunications carriers,28.4
42-4890,Other communications,50-517200,Wireless telecommunications carriers,7.7
42-4890,Other communications,43-485300,Taxi and limousine service,3.2
42-4910,Electric services,44-221100,Power generation and supply,90.6
42-4910,Electric services,60-550000,Management of companies and enterprises,7.6
42-4920,Gas production and distribution,44-221200,Natural gas distribution,69.8
42-4920,Gas production and distribution,43-486000,Pipeline transportation,25.5
42-4920,Gas production and distribution,60-550000,Management of companies and enterprises,4.6
42-4930,Combination utility services,44-221100,Power generation and supply,71
42-4930,Combination utility services,44-221200,Natural gas distribution,20.6
42-4930,Combination utility services,60-550000,Management of companies and enterprises,7.7
42-4950,Sanitary services,60-562200,Waste treatment and disposal,67
42-4950,Sanitary services,60-562900,Remediation and other waste services,19.8
42-4950,Sanitary services,44-221300,"Water, sewage and other systems",5
42-4950,Sanitary services,60-561700,Services to buildings and dwellings,4.3
42-4950,Sanitary services,43-488400,Support activities for road transportation,2
42-4950,Sanitary services,60-550000,Management of companies and enterprises,1.6
42-4970,"Water, steam and air-conditioning supply, and irrigation systems",44-221300,"Water, sewage and other systems",95.8
42-4970,"Water, steam and air-conditioning supply, and irrigation systems",60-550000,Management of companies and enterprises,3.2
52-5010,"Motor vehicles, parts, and supplies",41-423100,Motor vehicle and parts,68.6
52-5010,"Motor vehicles, parts, and supplies",42-441300,"Auto parts, accessories, and tire stores",18.2
52-5010,"Motor vehicles, parts, and supplies",41-425000,Electronic markets and agents and brokers,9.4
52-5010,"Motor vehicles, parts, and supplies",60-550000,Management of companies and enterprises,2.1
52-5010,"Motor vehicles, parts, and supplies",43-493000,Warehousing and storage,1.5
52-5020,Furniture and home furnishings,41-423200,Furniture & furnishings,68
52-5020,Furniture and home furnishings,42-442100,Furniture stores,13.7
52-5020,Furniture and home furnishings,41-425000,Electronic markets and agents and brokers,8.7
52-5020,Furniture and home furnishings,42-442200,Home furnishings stores,7.6
52-5020,Furniture and home furnishings,60-550000,Management of companies and enterprises,1.1
52-5030,Lumber and other construction materials,41-423300,Lumber & const. supplies,79
52-5030,Lumber and other construction materials,42-444100,Building material and supplies dealers,13
52-5030,Lumber and other construction materials,41-425000,Electronic markets and agents and brokers,5.9
52-5030,Lumber and other construction materials,60-550000,Management of companies and enterprises,1.6
52-5040,Professional and commercial equipment,41-423400,Commercial equip.,75.1
52-5040,Professional and commercial equipment,41-425000,Electronic markets and agents and brokers,11
52-5040,Professional and commercial equipment,42-453200,"Office supplies, stationery, and gift stores",4.7
52-5040,Professional and commercial equipment,42-443000,Electronics and appliance stores,4.6
52-5040,Professional and commercial equipment,42-446000,Health and personal care stores,2.6
52-5040,Professional and commercial equipment,60-550000,Management of companies and enterprises,1.5
52-5050,"Metals and minerals, except petroleum",41-423500,Metals and minerals,90
52-5050,"Metals and minerals, except petroleum",41-425000,Electronic markets and agents and brokers,8
52-5050,"Metals and minerals, except petroleum",60-550000,Management of companies and enterprises,1.5
52-5060,Electrical goods,41-423600,Electric goods,72.7
52-5060,Electrical goods,41-425000,Electronic markets and agents and brokers,11.6
52-5060,Electrical goods,42-444100,Building material and supplies dealers,7.8
52-5060,Electrical goods,42-443000,Electronics and appliance stores,5.9
52-5060,Electrical goods,60-550000,Management of companies and enterprises,1.4
52-5070,"Hardware, plumbing, and heating equipment",41-423700,Hardware & plumbing,77.1
52-5070,"Hardware, plumbing, and heating equipment",42-444100,Building material and supplies dealers,11.9
52-5070,"Hardware, plumbing, and heating equipment",41-425000,Electronic markets and agents and brokers,8.5
52-5070,"Hardware, plumbing, and heating equipment",60-550000,Management of companies and enterprises,1.9
52-5080,"Machinery, equipment, and supplies",41-423800,Machinery and supplies,86.5
52-5080,"Machinery, equipment, and supplies",41-425000,Electronic markets and agents and brokers,8.8
52-5080,"Machinery, equipment, and supplies",60-550000,Management of companies and enterprises,1.5
52-5080,"Machinery, equipment, and supplies",42-446000,Health and personal care stores,1.3
52-5090,Miscellaneous wholesale trade durable goods,41-423900,Miscellaneous durable goods,83.3
52-5090,Miscellaneous wholesale trade durable goods,41-425000,Electronic markets and agents and brokers,9.9
52-5090,Miscellaneous wholesale trade durable goods,42-451100,Sporting goods and musical instrument stores,2.1
52-5090,Miscellaneous wholesale trade durable goods,42-451200,"Book, periodical, and music stores",1.7
52-5090,Miscellaneous wholesale trade durable goods,42-448300,"Jewelry, luggage, and leather goods stores",1.6
53-5110,Paper and paper products,41-424100,Paper and paper products,64.8
53-5110,Paper and paper products,42-453200,"Office supplies, stationery, and gift stores",20.1
53-5110,Paper and paper products,41-425000,Electronic markets and agents and brokers,9.2
53-5110,Paper and paper products,60-550000,Management of companies and enterprises,2.4
53-5110,Paper and paper products,42-453900,Other miscellaneous store retailers,1.8
53-5110,Paper and paper products,43-493000,Warehousing and storage,1.4
53-5120,"Drugs, proprietaries, and sundries",41-424200,Druggists' goods,72.7
53-5120,"Drugs, proprietaries, and sundries",42-446000,Health and personal care stores,12.9
53-5120,"Drugs, proprietaries, and sundries",41-425000,Electronic markets and agents and brokers,11.1
53-5120,"Drugs, proprietaries, and sundries",60-550000,Management of companies and enterprises,2.7
53-5130,"Apparel, piece goods, and notions",41-424300,Apparel & piece goods,72.2
53-5130,"Apparel, piece goods, and notions",41-425000,Electronic markets and agents and brokers,7.2
53-5130,"Apparel, piece goods, and notions",42-448000,Clothing stores,6.9
53-5130,"Apparel, piece goods, and notions",32-313300,Textile and fabric finishing mills,4.5
53-5130,"Apparel, piece goods, and notions",41-423900,Miscellaneous durable goods,2.5
53-5130,"Apparel, piece goods, and notions",60-550000,Management of companies and enterprises,2
53-5130,"Apparel, piece goods, and notions",42-451100,Sporting goods and musical instrument stores,1.7
53-5130,"Apparel, piece goods, and notions",42-448200,Shoe stores,1.6
53-5130,"Apparel, piece goods, and notions",43-493000,Warehousing and storage,1.1
53-5140,Groceries and related products,41-424400,Grocery & related products,73.1
53-5140,Groceries and related products,42-445200,Specialty food stores,10
53-5140,Groceries and related products,41-425000,Electronic markets and agents and brokers,7.6
53-5140,Groceries and related products,42-445100,Grocery stores,2.5
53-5140,Groceries and related products,43-493000,Warehousing and storage,1.7
53-5140,Groceries and related products,60-550000,Management of companies and enterprises,1.7
53-5140,Groceries and related products,32-312100,Beverages,1.6
53-5150,Farm-product raw materials,41-424500,Farm product raw materials,82.2
53-5150,Farm-product raw materials,41-425000,Electronic markets and agents and brokers,7.5
53-5150,Farm-product raw materials,60-550000,Management of companies and enterprises,5.7
53-5150,Farm-product raw materials,42-444200,Lawn and garden equipment and supplies stores,4.3
53-5160,Chemicals and allied products,41-424600,Chemical,85.5
53-5160,Chemicals and allied products,41-425000,Electronic markets and agents and brokers,11.6
53-5160,Chemicals and allied products,42-453900,Other miscellaneous store retailers,1.5
53-5170,Petroleum and petroleum products,41-424700,Petroleum,79.6
53-5170,Petroleum and petroleum products,42-454300,Direct selling establishments,7.8
53-5170,Petroleum and petroleum products,60-550000,Management of companies and enterprises,6.9
53-5170,Petroleum and petroleum products,41-425000,Electronic markets and agents and brokers,5
53-5180,"Beer, wine, and distilled beverages",41-424800,Alcoholic beverage,77.7
53-5180,"Beer, wine, and distilled beverages",42-445300,"Beer, wine, and liquor stores",15.8
53-5180,"Beer, wine, and distilled beverages",41-425000,Electronic markets and agents and brokers,3.3
53-5180,"Beer, wine, and distilled beverages",60-550000,Management of companies and enterprises,2.4
53-5190,Miscellaneous wholesale trade nondurable goods,41-424900,Miscellaneous nondurable goods,70.1
53-5190,Miscellaneous wholesale trade nondurable goods,42-444200,Lawn and garden equipment and supplies stores,7.8
53-5190,Miscellaneous wholesale trade nondurable goods,41-425000,Electronic markets and agents and brokers,6.7
53-5190,Miscellaneous wholesale trade nondurable goods,60-541800,Advertising and related services,4.5
53-5190,Miscellaneous wholesale trade nondurable goods,42-453200,"Office supplies, stationery, and gift stores",2.8
53-5190,Miscellaneous wholesale trade nondurable goods,42-451200,"Book, periodical, and music stores",2.4
53-5190,Miscellaneous wholesale trade nondurable goods,42-453900,Other miscellaneous store retailers,1.8
53-5190,Miscellaneous wholesale trade nondurable goods,60-550000,Management of companies and enterprises,1.5
53-5190,Miscellaneous wholesale trade nondurable goods,41-424300,Apparel & piece goods,1.4
60-5210,Lumber and other building materials,42-444100,Building material and supplies dealers,97.7
60-5210,Lumber and other building materials,60-550000,Management of companies and enterprises,1.3
60-5230,"Paint, glass, and wallpaper stores",42-444100,Building material and supplies dealers,97.3
60-5230,"Paint, glass, and wallpaper stores",60-550000,Management of companies and enterprises,1.9
60-5250,Hardware stores,42-444100,Building material and supplies dealers,98.4
60-5250,Hardware stores,60-550000,Management of companies and enterprises,1.3
60-5260,Retail nurseries and garden stores,42-444200,Lawn and garden equipment and supplies stores,99.1
60-5270,Mobile home dealers,42-453900,Other miscellaneous store retailers,99.1
60-5310,Department stores,42-452100,Department stores,69.4
60-5310,Department stores,42-452900,Other general merchandise stores,24.7
60-5310,Department stores,43-493000,Warehousing and storage,2.7
60-5310,Department stores,60-550000,Management of companies and enterprises,2.5
60-5330,Variety stores,42-452900,Other general merchandise stores,95.3
60-5330,Variety stores,43-493000,Warehousing and storage,2.6
60-5330,Variety stores,60-550000,Management of companies and enterprises,1.7
60-5390,Miscellaneous general merchandise stores,42-452900,Other general merchandise stores,95.5
60-5390,Miscellaneous general merchandise stores,43-493000,Warehousing and storage,3.1
60-5390,Miscellaneous general merchandise stores,60-550000,Management of companies and enterprises,1.1
60-5410,Grocery stores,42-445100,Grocery stores,82.6
60-5410,Grocery stores,42-447000,Gasoline stations,9.6
60-5410,Grocery stores,42-452900,Other general merchandise stores,3.2
60-5410,Grocery stores,60-550000,Management of companies and enterprises,2.4
60-5410,Grocery stores,43-493000,Warehousing and storage,1.8
60-5420,Meat and fish markets,42-445200,Specialty food stores,95.8
60-5420,Meat and fish markets,42-454300,Direct selling establishments,3.7
60-5430,Fruit and vegetable markets,42-445200,Specialty food stores,97.2
60-5430,Fruit and vegetable markets,42-454300,Direct selling establishments,2.4
60-5440,"Candy, nut, and confectionery stores",42-445200,Specialty food stores,62.1
60-5440,"Candy, nut, and confectionery stores",32-311300,Sugar and confectionery products,36.4
60-5440,"Candy, nut, and confectionery stores",60-550000,Management of companies and enterprises,1.1
60-5460,Retail bakeries,70-722200,Limited-service eating places,45.5
60-5460,Retail bakeries,32-311800,Bakeries and tortilla manufacturing,36.9
60-5460,Retail bakeries,42-445200,Specialty food stores,10.3
60-5460,Retail bakeries,70-722100,Full-service restaurants,6.8
60-5490,Miscellaneous food stores,42-445200,Specialty food stores,55.3
60-5490,Miscellaneous food stores,42-446000,Health and personal care stores,43.5
60-5490,Miscellaneous food stores,60-550000,Management of companies and enterprises,1.1
60-5510,New and used car dealers,42-441100,Automobile dealers,99.5
60-5520,Used car dealers,42-441100,Automobile dealers,99.9
60-5530,Auto and home supply stores,42-441300,"Auto parts, accessories, and tire stores",94.4
60-5530,Auto and home supply stores,42-452900,Other general merchandise stores,2
60-5530,Auto and home supply stores,60-550000,Management of companies and enterprises,1.9
60-5530,Auto and home supply stores,43-493000,Warehousing and storage,1.6
60-5540,Gasoline service stations,42-447000,Gasoline stations,97.6
60-5540,Gasoline service stations,60-550000,Management of companies and enterprises,1.9
60-5550,Boat dealers,42-441200,Other motor vehicle dealers,99.8
60-5560,Recreational vehicle dealers,42-441200,Other motor vehicle dealers,99
60-5570,Motorcycle dealers,42-441200,Other motor vehicle dealers,99.8
60-5590,"Automotive dealers, nec",42-441200,Other motor vehicle dealers,100
60-5610,Men's and boys' clothing stores,42-448000,Clothing stores,97.8
60-5610,Men's and boys' clothing stores,60-550000,Management of companies and enterprises,1.8
60-5620,Women's clothing stores,42-448000,Clothing stores,96
60-5620,Women's clothing stores,60-550000,Management of companies and enterprises,2.5
60-5630,Women's accessory and specialty stores,42-448000,Clothing stores,99.8
60-5640,Children's and infants' wear stores,42-448000,Clothing stores,98.1
60-5640,Children's and infants' wear stores,60-550000,Management of companies and enterprises,1.2
60-5650,Family clothing stores,42-448000,Clothing stores,93.4
60-5650,Family clothing stores,60-550000,Management of companies and enterprises,4.2
60-5650,Family clothing stores,43-493000,Warehousing and storage,1.7
60-5660,Shoe stores,42-448200,Shoe stores,96.5
60-5660,Shoe stores,60-550000,Management of companies and enterprises,2.6
60-5690,Miscellaneous apparel and accessory stores,42-448000,Clothing stores,87.6
60-5690,Miscellaneous apparel and accessory stores,32-315200,Cut and sew apparel manufacturing,10
60-5690,Miscellaneous apparel and accessory stores,60-550000,Management of companies and enterprises,2.2
60-5710,Furniture and home furnishings stores,42-442100,Furniture stores,45.7
60-5710,Furniture and home furnishings stores,42-442200,Home furnishings stores,41.1
60-5710,Furniture and home furnishings stores,31-337100,Household and institutional furniture,8
60-5710,Furniture and home furnishings stores,60-550000,Management of companies and enterprises,2
60-5710,Furniture and home furnishings stores,43-493000,Warehousing and storage,1.3
60-5720,Household appliance stores,42-443000,Electronics and appliance stores,97.9
60-5720,Household appliance stores,60-550000,Management of companies and enterprises,1.7
60-5730,"Radio, television, and computer stores",42-443000,Electronics and appliance stores,69.9
60-5730,"Radio, television, and computer stores",42-451200,"Book, periodical, and music stores",14.8
60-5730,"Radio, television, and computer stores",42-451100,Sporting goods and musical instrument stores,7.6
60-5730,"Radio, television, and computer stores",42-441300,"Auto parts, accessories, and tire stores",3.9
60-5730,"Radio, television, and computer stores",60-550000,Management of companies and enterprises,2.8
60-5810,Eating and drinking places,70-722100,Full-service restaurants,46.9
60-5810,Eating and drinking places,70-722200,Limited-service eating places,41.3
60-5810,Eating and drinking places,70-722300,Special food services,6
60-5810,Eating and drinking places,70-722400,"Drinking places, alcoholic beverages",4.8
60-5910,Drug stores and proprietary stores,42-446000,Health and personal care stores,97.2
60-5910,Drug stores and proprietary stores,60-550000,Management of companies and enterprises,1.4
60-5910,Drug stores and proprietary stores,43-493000,Warehousing and storage,1.3
60-5920,Liquor stores,42-445300,"Beer, wine, and liquor stores",99.5
60-5930,Used merchandise stores,42-453300,Used merchandise stores,79.9
60-5930,Used merchandise stores,55-522200,Nondepository credit intermediation,18
60-5930,Used merchandise stores,60-550000,Management of companies and enterprises,1.6
60-5940,Miscellaneous shopping goods stores,42-451100,Sporting goods and musical instrument stores,34.7
60-5940,Miscellaneous shopping goods stores,42-453200,"Office supplies, stationery, and gift stores",31.6
60-5940,Miscellaneous shopping goods stores,42-448300,"Jewelry, luggage, and leather goods stores",15.5
60-5940,Miscellaneous shopping goods stores,42-451200,"Book, periodical, and music stores",13.2
60-5940,Miscellaneous shopping goods stores,42-443000,Electronics and appliance stores,2.2
60-5940,Miscellaneous shopping goods stores,60-550000,Management of companies and enterprises,1.5
60-5940,Miscellaneous shopping goods stores,43-493000,Warehousing and storage,1.1
60-5960,Nonstore retailers,42-454100,Electronic shopping and mail-order houses,63.9
60-5960,Nonstore retailers,42-454200,Vending machine operators,17.1
60-5960,Nonstore retailers,42-454300,Direct selling establishments,14.5
60-5960,Nonstore retailers,43-493000,Warehousing and storage,1.4
60-5960,Nonstore retailers,60-550000,Management of companies and enterprises,1.4
60-5980,Fuel dealers,42-454300,Direct selling establishments,98.4
60-5980,Fuel dealers,60-550000,Management of companies and enterprises,1.3
60-5990,"Retail stores, nec",42-453900,Other miscellaneous store retailers,42.4
60-5990,"Retail stores, nec",42-446000,Health and personal care stores,27.3
60-5990,"Retail stores, nec",42-453100,Florists,22.5
60-5990,"Retail stores, nec",42-443000,Electronics and appliance stores,4
60-5990,"Retail stores, nec",42-451200,"Book, periodical, and music stores",1.6
60-5990,"Retail stores, nec",60-550000,Management of companies and enterprises,1.1
71-6010,Central reserve depositories,55-521000,Monetary authorities - central bank,89.1
71-6010,Central reserve depositories,55-522200,Nondepository credit intermediation,5.5
71-6010,Central reserve depositories,60-550000,Management of companies and enterprises,5.3
71-6020,Commercial banks,55-522100,Depository credit intermediation,87.4
71-6020,Commercial banks,60-550000,Management of companies and enterprises,6.5
71-6020,Commercial banks,55-522200,Nondepository credit intermediation,4.3
71-6030,Savings institutions,55-522100,Depository credit intermediation,91.3
71-6030,Savings institutions,60-550000,Management of companies and enterprises,8
71-6060,Credit unions,55-522100,Depository credit intermediation,93.2
71-6060,Credit unions,60-550000,Management of companies and enterprises,6.6
71-6080,Foreign banks and branches and agencies,55-522100,Depository credit intermediation,59.7
71-6080,Foreign banks and branches and agencies,55-522200,Nondepository credit intermediation,36.9
71-6080,Foreign banks and branches and agencies,60-541900,Other professional and technical services,1.7
71-6080,Foreign banks and branches and agencies,60-550000,Management of companies and enterprises,1.7
71-6090,Functions closely related to banking,55-522300,Activities related to credit intermediation,77.6
71-6090,Functions closely related to banking,55-523900,Other financial investment activities,14.8
71-6090,Functions closely related to banking,55-523200,Securities and commodity contracts brokerage & exchanges,6.4
71-6090,Functions closely related to banking,60-550000,Management of companies and enterprises,1.2
71-6110,Federal and federally sponsored credit agencies,55-522200,Nondepository credit intermediation,99
71-6140,Personal credit institutions,55-522200,Nondepository credit intermediation,97.9
71-6140,Personal credit institutions,60-550000,Management of companies and enterprises,1.5
71-6150,Business credit institutions,55-522200,Nondepository credit intermediation,74
71-6150,Business credit institutions,55-522300,Activities related to credit intermediation,22.5
71-6150,Business credit institutions,55-523900,Other financial investment activities,1.8
71-6160,Mortgage bankers and brokers,55-522200,Nondepository credit intermediation,67.5
71-6160,Mortgage bankers and brokers,55-522300,Activities related to credit intermediation,30.6
71-6160,Mortgage bankers and brokers,60-550000,Management of companies and enterprises,1.9
71-6210,Security brokers and dealers,55-523200,Securities and commodity contracts brokerage & exchanges,95.6
71-6210,Security brokers and dealers,60-550000,Management of companies and enterprises,2.9
71-6210,Security brokers and dealers,55-523900,Other financial investment activities,1.4
71-6230,"Commodity contracts brokers, dealers, and exchanges",55-523200,Securities and commodity contracts brokerage & exchanges,100
71-6280,Security and commodity services,55-523900,Other financial investment activities,99.1
71-6710,Holding offices,60-550000,Management of companies and enterprises,99.4
71-6730,Trusts,80-813200,Grantmaking and giving services,72.6
71-6730,Trusts,55-523900,Other financial investment activities,17.2
71-6730,Trusts,55-525900,Other investment pools and funds,8.5
71-6730,Trusts,55-525100,Insurance and employee benefit funds,1.2
71-6790,Investment offices and miscellaneous investing,55-525900,Other investment pools and funds,39.8
71-6790,Investment offices and miscellaneous investing,55-533000,Lessors of nonfinancial intangible assets,33.3
71-6790,Investment offices and miscellaneous investing,55-523900,Other financial investment activities,22.3
71-6790,Investment offices and miscellaneous investing,55-523200,Securities and commodity contracts brokerage & exchanges,3.6
72-6310,Life insurance,55-524100,Insurance carriers,96.9
72-6310,Life insurance,60-550000,Management of companies and enterprises,2.2
72-6320,Medical service and health insurance,55-524100,Insurance carriers,93.2
72-6320,Medical service and health insurance,60-550000,Management of companies and enterprises,4.2
72-6320,Medical service and health insurance,55-525100,Insurance and employee benefit funds,1.9
72-6330,"Fire, marine, and casualty insurance",55-524100,Insurance carriers,90.3
72-6330,"Fire, marine, and casualty insurance",60-550000,Management of companies and enterprises,5.6
72-6330,"Fire, marine, and casualty insurance",55-525100,Insurance and employee benefit funds,2.5
72-6330,"Fire, marine, and casualty insurance",50-511100,"Newspaper, book, and directory publishers",1.1
72-6360,Title insurance,55-524100,Insurance carriers,97.4
72-6360,Title insurance,60-550000,Management of companies and enterprises,2.3
72-6390,"Surety insurance and insurance carriers, nec",55-524100,Insurance carriers,30.6
72-6390,"Surety insurance and insurance carriers, nec",55-524200,"Insurance agencies, brokerages, and related services",30
72-6390,"Surety insurance and insurance carriers, nec",55-525100,Insurance and employee benefit funds,25.2
72-6390,"Surety insurance and insurance carriers, nec",55-523900,Other financial investment activities,12.5
72-6390,"Surety insurance and insurance carriers, nec",60-550000,Management of companies and enterprises,1.3
72-6410,"Insurance agents, brokers, and services",55-524200,"Insurance agencies, brokerages, and related services",99.4
73-6510,Real estate operators and lessors,55-531100,Lessors of real estate,97.3
73-6510,Real estate operators and lessors,70-711300,"Arts and sports promoters, and agents and managers for public figures",1.4
73-6510,Real estate operators and lessors,60-550000,Management of companies and enterprises,1.1
73-6530,Real estate agents and managers,55-531300,Activities related to real estate,56.4
73-6530,Real estate agents and managers,55-531200,Offices of real estate agents and brokers,37.4
73-6530,Real estate agents and managers,80-813900,Professional and similar organizations,3.8
73-6530,Real estate agents and managers,60-550000,Management of companies and enterprises,1.6
73-6540,Title abstract offices,60-541100,Legal services,98.8
73-6540,Title abstract offices,60-550000,Management of companies and enterprises,1.1
73-6550,Subdividers and developers,20-237200,Land subdivision,71.1
73-6550,Subdividers and developers,80-812200,Death care services,27.1
73-6550,Subdividers and developers,60-550000,Management of companies and enterprises,1.9
80-0740,Veterinary services,60-541900,Other professional and technical services,99.9
80-0750,"Animal services, except veterinary",80-812900,Other personal services,53.4
80-0750,"Animal services, except veterinary",32-311600,Animal slaughtering and processing,4.9
80-0780,Landscape and horticultural services,60-561700,Services to buildings and dwellings,93.1
80-0780,Landscape and horticultural services,60-541300,Architectural and engineering services,6.2
80-7010,Hotels and motels,70-721100,"Traveler accommodations, & other longer-term accommodations",98.9
80-7030,Camps and recreational vehicle parks,70-721200,RV parks and recreational camps,99.5
80-7040,"Rooming & boarding houses, membership-basis org. hotels",70-721100,"Traveler accommodations, & other longer-term accommodations",99.8
80-7210,"Laundry, cleaning, and garment services",80-812300,Dry-cleaning and laundry services,87.2
80-7210,"Laundry, cleaning, and garment services",60-561700,Services to buildings and dwellings,10.2
80-7210,"Laundry, cleaning, and garment services",80-811400,Household goods repair and maintenance,1.4
80-7220,"Photographic studios, portrait",60-541900,Other professional and technical services,99.3
80-7230,Beauty shops,80-812100,Personal care services,96.8
80-7230,Beauty shops,65-611500,Technical and trade schools,2.8
80-7240,Barber shops,80-812100,Personal care services,96
80-7240,Barber shops,65-611500,Technical and trade schools,3.9
80-7250,Shoe repair shops and shoeshine parlors,80-811400,Household goods repair and maintenance,96.1
80-7250,Shoe repair shops and shoeshine parlors,80-812900,Other personal services,3.5
80-7260,Funeral service and crematories,80-812200,Death care services,99.6
80-7290,Miscellaneous personal services,60-541200,Accounting and bookkeeping services,51.2
80-7290,Miscellaneous personal services,80-812100,Personal care services,26.2
80-7290,Miscellaneous personal services,80-812900,Other personal services,14.7
80-7290,Miscellaneous personal services,55-532200,Consumer goods rental,6.4
80-7310,Advertising,60-541800,Advertising and related services,99.6
80-7320,Credit reporting and collection,60-561400,Business support services,96.4
80-7320,Credit reporting and collection,60-550000,Management of companies and enterprises,2.9
80-7330,"Mailing, reproduction, and stenographic services",60-561400,Business support services,33.2
80-7330,"Mailing, reproduction, and stenographic services",60-541800,Advertising and related services,26
80-7330,"Mailing, reproduction, and stenographic services",60-541400,Specialized design services,23.8
80-7330,"Mailing, reproduction, and stenographic services",32-323000,Printing and related support activities,6.4
80-7330,"Mailing, reproduction, and stenographic services",50-511100,"Newspaper, book, and directory publishers",5.8
80-7330,"Mailing, reproduction, and stenographic services",60-541900,Other professional and technical services,3.6
80-7340,Services to buildings,60-561700,Services to buildings and dwellings,99.3
80-7350,Miscellaneous equipment rental and leasing,55-532200,Consumer goods rental,36.9
80-7350,Miscellaneous equipment rental and leasing,55-532400,Machinery and equipment rental and leasing,27.7
80-7350,Miscellaneous equipment rental and leasing,55-532300,General rental centers,22.6
80-7350,Miscellaneous equipment rental and leasing,20-238900,Other specialty trade contractors,8.5
80-7350,Miscellaneous equipment rental and leasing,60-562900,Remediation and other waste services,2.2
80-7350,Miscellaneous equipment rental and leasing,60-550000,Management of companies and enterprises,1.5
80-7360,Personnel supply services,60-561300,Employment services,97.7
80-7360,Personnel supply services,60-541600,Management and technical consulting services,1.8
80-7370,Computer and data processing services,60-541500,Computer systems design and related services,58
80-7370,Computer and data processing services,50-518200,Data processing and related services,13.7
80-7370,Computer and data processing services,50-511200,Software publishers,12.4
80-7370,Computer and data processing services,50-518100,ISPs and web search portals,8.5
80-7370,Computer and data processing services,50-516000,Internet publishing and broadcasting,1.8
80-7370,Computer and data processing services,80-811200,Electronic equipment repair and maintenance,1.7
80-7370,Computer and data processing services,31-334600,Magnetic media mfg. and reproduction,1.2
80-7370,Computer and data processing services,60-550000,Management of companies and enterprises,1.2
80-7380,Miscellaneous business services,60-561600,Investigation and security services,38.4
80-7380,Miscellaneous business services,60-561400,Business support services,26.8
80-7380,Miscellaneous business services,60-561900,Other support services,15.4
80-7380,Miscellaneous business services,80-812900,Other personal services,4
80-7380,Miscellaneous business services,60-541400,Specialized design services,2.8
80-7380,Miscellaneous business services,60-541900,Other professional and technical services,1.9
80-7380,Miscellaneous business services,60-541300,Architectural and engineering services,1.5
80-7380,Miscellaneous business services,60-561500,Travel arrangement and reservation services,1.5
80-7380,Miscellaneous business services,60-541800,Advertising and related services,1.4
